timestamp,amount,merchant,category,card_type,is_fraud
2025-09-06T07:53:23,3200.74,Johnson LLC,electronics,Visa,1
2025-04-06T02:33:27,1123.82,Taylor Inc,grocery,Amex,0
2025-09-20T19:17:46,2115.39,"Mcclain, Miller and Henderson",travel,Visa,1
2025-01-12T13:43:48,2531.72,Robinson PLC,travel,Amex,1
2025-08-22T19:13:16,3252.92,Hoffman Ltd,travel,MasterCard,0
2025-09-10T09:21:43,2950.44,"Gardner, Robinson and Lawrence",grocery,Visa,0
2025-11-11T08:26:19,3493.72,Blake and Sons,travel,Visa,0
2025-09-29T03:07:50,4786.49,Peterson-Moore,grocery,MasterCard,0
2025-10-24T12:16:51,492.61,Garcia-James,electronics,Visa,0
2025-05-20T09:55:49,3651.36,Munoz-Roman,dining,Visa,0
2025-10-11T09:35:35,2764.68,Herrera-Dudley,electronics,Amex,0
2025-05-28T00:11:46,969.52,Arnold Ltd,travel,MasterCard,0
2025-08-29T05:01:18,4926.26,Ray-Bush,grocery,MasterCard,0
2025-01-18T19:06:51,1397.09,"Perez, Roberts and Miller",electronics,Visa,0
2025-04-01T09:46:05,1857.2,James Group,electronics,Amex,0
2025-09-04T21:00:30,4683.91,Martin-Kelly,travel,Amex,0
2025-09-18T06:29:07,3648.34,Miles-Sutton,dining,MasterCard,0
2025-01-28T17:31:10,4947.72,"Reid, Ferguson and Sanchez",travel,Amex,0
2025-06-29T12:34:38,1628.17,Nelson-Schaefer,grocery,Visa,0
2025-09-25T06:08:03,4110.79,"Robinson, Nguyen and Tate",dining,MasterCard,0
2025-01-22T17:22:46,340.28,Underwood LLC,electronics,Visa,0
2025-06-05T19:07:36,3280.64,Jones-Gentry,dining,Visa,0
2025-08-09T06:30:04,1331.75,"Edwards, Rios and Foster",electronics,Amex,0
2025-09-07T15:48:49,2927.08,Thomas-Taylor,dining,MasterCard,0
2025-10-17T07:48:02,1104.41,"Ryan, Burgess and Patterson",dining,Visa,0
2025-08-15T14:55:15,3781.35,Cox-Osborn,travel,Amex,0
2025-02-23T17:20:43,808.31,"Snyder, Campos and Callahan",grocery,MasterCard,0
2025-03-01T08:35:03,1914.28,"Moore, Becker and Carlson",electronics,Amex,0
2025-05-30T10:17:28,4305.29,Carlson-Mcdonald,grocery,Amex,1
2025-04-08T15:20:57,4425.09,"Valencia, Smith and Le",electronics,Visa,0
2025-09-22T18:00:04,1474.57,"Potter, Mack and Peterson",grocery,Amex,0
2025-04-24T23:37:10,4380.51,Moore-Smith,travel,Amex,0
2025-10-08T10:23:08,4564.01,"Baker, Mason and White",electronics,Amex,0
2025-02-11T07:49:14,2543.24,"Evans, Fowler and Lynch",electronics,Visa,0
2025-03-01T08:33:54,2701.5,Farmer-Ryan,grocery,Amex,0
2025-10-30T09:19:29,1627.54,"Sellers, George and Burns",electronics,MasterCard,1
2025-02-13T10:40:57,1204.87,Koch-Decker,grocery,Visa,0
2025-04-30T10:14:21,3662.22,Brown PLC,travel,Visa,0
2025-01-31T14:04:08,3302.16,Dennis Inc,travel,MasterCard,0
2025-10-23T09:19:33,2643.09,"Cannon, Anderson and Alvarez",travel,Amex,0
2025-08-02T12:32:27,3778.77,Baker PLC,electronics,MasterCard,0
2025-06-14T07:55:53,4975.8,Hickman Ltd,dining,Amex,0
2025-09-25T22:01:56,2262.92,Marquez Group,grocery,MasterCard,0
2025-09-18T20:34:34,114.96,"Brooks, Lam and Hayes",travel,Visa,0
2025-04-07T06:38:52,364.26,Brown Inc,travel,Visa,0
2025-08-17T11:26:04,4528.05,"Hall, Robinson and Jones",grocery,Amex,0
2025-09-03T02:18:21,1197.64,Perez Inc,travel,Amex,0
2025-05-09T07:49:00,670.24,Palmer LLC,dining,Visa,0
2025-09-17T19:19:29,3925.25,Lewis-Anderson,travel,Visa,0
2025-08-10T18:30:26,493.68,"Kennedy, Mueller and Aguirre",dining,MasterCard,0
2025-03-15T22:44:56,2340.45,Davis Group,grocery,Visa,0
2025-05-18T14:17:33,2019.08,Jenkins-Shields,grocery,Visa,0
2025-01-22T00:54:43,966.03,"Valdez, Lucas and Brown",travel,MasterCard,0
2025-10-10T19:26:33,925.61,Mcbride-Rodriguez,grocery,MasterCard,0
2025-03-16T09:44:56,4042.03,Herrera and Sons,grocery,Visa,0
2025-06-13T20:13:18,3264.2,Ramirez and Sons,grocery,Visa,0
2025-01-30T06:38:17,4632.57,Morton-Chase,travel,MasterCard,0
2025-02-08T00:34:31,2433.35,Pearson PLC,dining,Visa,0
2025-11-21T16:20:30,831.54,Novak and Sons,dining,MasterCard,1
2025-03-06T14:07:54,4633.33,Tucker-Lewis,electronics,MasterCard,0
2025-06-05T17:57:59,3485.99,Martin Inc,dining,Visa,0
2025-06-01T14:59:40,957.59,House-Glover,grocery,Amex,0
2025-04-21T18:42:55,3681.33,Horton-Cross,electronics,Visa,0
2025-11-01T05:27:31,260.21,"Stanley, Tucker and Lee",travel,Visa,0
2025-03-26T13:07:09,4804.29,Riley PLC,travel,Visa,0
2025-01-24T16:09:56,2979.23,"Edwards, Williams and Woods",travel,MasterCard,0
