timestamp,amount,category,distance_from_home,merchant,region,is_fraud
2025-11-02 22:45:35.809892,120.22,online,2.35,"Rodriguez, Figueroa and Sanchez",US,0
2025-10-29 01:03:35.809892,743.26,online,74.4048354646486,Doyle Ltd,US,0
2025-11-21 09:34:35.809892,1243.84,travel,6.58,"Mcclain, Miller and Henderson",US,0
2025-11-15 19:57:35.809892,1337.8270812526978,retail,4.56,Davis and Sons,US,0
2025-11-13 21:19:35.809892,40.77,gas,0.85,"Guzman, Hoffman and Baldwin",US,0
2025-11-21 00:03:35.809892,96.5,dining,0.85,"Gardner, Robinson and Lawrence",US,0
2025-11-13 01:21:35.809892,57.82,retail,0.3,Blake and Sons,US,0
2025-10-31 05:30:35.809892,78.86,online,10.06,"Henderson, Ramirez and Lewis",US,0
2025-11-04 00:00:35.809892,88.42,grocery,4.6,Garcia-James,US,0
2025-10-30 20:20:35.809892,63.51,gas,6.16,Abbott-Munoz,US,0
2025-11-08 21:12:35.809892,56.71,gas,0.1,Blair PLC,US,0
2025-10-30 03:26:35.809892,691.28,online,17.52,Dudley Group,US,0
2025-11-22 09:51:35.809892,164.91,grocery,8.93,Arnold Ltd,US,0
2025-11-25 20:30:35.809892,43.7,dining,1.19,"Mcclure, Ward and Lee",US,0
2025-11-23 04:52:35.809892,33.85,dining,1.0,Williams and Sons,US,0
2025-11-19 18:53:35.809892,858.86,travel,1.01,Galloway-Wyatt,US,0
2025-11-15 19:27:35.809892,175.0,grocery,1.81,James Group,US,0
2025-11-21 18:37:35.809892,203.18,retail,3.72,"Flowers, Martin and Kelly",US,0
2025-11-08 17:47:35.809892,142.45,grocery,2.83,"Adams, Zuniga and Wong",US,0
2025-11-08 14:02:35.809892,30.06,dining,1.72,"Reid, Ferguson and Sanchez",US,0
2025-11-25 16:15:35.809892,55.38,gas,4.73,Gray-Mayo,US,0
2025-11-20 17:38:35.809892,37.64,gas,0.75,"Watts, Robinson and Nguyen",US,0
2025-11-10 14:14:35.809892,715.9,travel,160.1222166012549,Perez Inc,US,1
2025-10-30 17:56:35.809892,1899.2,travel,2.28,Morales-Jones,US,0
2025-11-21 14:52:35.809892,1555.09,travel,3.04,"Walter, Edwards and Rios",US,0
2025-11-21 03:24:35.809892,1757.62,travel,7.69,Wilkerson-Day,US,0
